10000 9999
5137 5625 125
1549 5436 820
398 454 530
8598 6975 552
8280 773 164
5367 7351 524
1162 3736 674
9381 2785 362
3455 5672 975
9315 5846 908
982 2741 351
594 1152 847
6302 8801 999
2953 2259 132
5015 3934 594
2896 9582 705
6738 6737 1000
4131 5170 249
6393 3302 88
8823 130 361
7758 5994 495
8275 4453 218
4691 7726 330
4443 4569 832
7047 4838 986
6068 606 562
6942 1863 981
3443 6472 86
4978 4977 1000
7212 6644 827
2353 705 987
3369 7844 383
1595 7349 600
551 1253 815
3634 8648 103
6793 192 785
9733 2287 160
5049 498 591
863 3831 674
6467 7437 39
9183 5665 851
3817 694 539
6589 3524 851
9091 4460 613
4809 3068 196
648 8982 90
5510 1265 837
4631 2624 452
9092 4230 732
5969 5309 55
1180 5939 594
7600 6317 927
7679 6565 993
2448 4668 622
2448 3701 220
5649 2212 365
8514 1617 326
9845 8244 247
938 5938 757
2774 2773 1000
110 9840 293
7139 6943 438
9774 9773 1000
7303 942 771
2918 3678 458
9709 9708 1000
8281 7707 404
4822 6076 250
9544 9741 406
8591 3761 583
5608 2787 718
5978 9916 230
5861 3216 61
7632 823 296
4750 4413 462
9240 9775 670
9777 9262 410
5219 7987 316
3935 6614 5
2797 2517 918
8537 3316 231
8941 3576 559
8590 857 791
7312 2254 103
3947 6055 354
8697 9848 647
590 4463 401
9086 3114 799
2309 9382 352
7698 6573 239
6334 7140 881
6485 9104 691
5884 6733 788
5708 1616 356
3030 5282 930
2 9099 186
9164 8847 802
5448 5297 47
8290 7625 664
8731 8137 443
9875 223 856
1755 69 126
4284 1813 533
6494 2453 224
8444 4932 540
5343 7933 890
1230 3827 290
5544 9880 131
5312 9692 194
5774 6495 51
2189 7299 628
8134 5800 350
4152 2833 276
5525 5504 577
767 874 853
7081 546 523
773 8831 740
7338 3806 626
5709 6159 34
3386 4152 988
1833 4690 64
9075 1484 868
3195 8350 121
2104 6004 12
5634 1559 109
6897 1527 452
3494 8748 151
1723 9620 946
5026 1529 315
5780 8141 10
2809 6773 409
5389 6128 215
2277 85 761
910 5474 194
4146 9174 545
7072 6570 544
5170 4918 120
5753 1360 441
5221 1833 799
3435 7473 197
1382 2880 730
8121 2431 503
4581 5061 23
5881 8054 608
24 3554 486
7310 7309 1000
7131 5089 646
8199 8683 576
9827 9417 23
9324 1761 547
3254 6149 830
4532 3209 63
7192 4582 500
2118 3826 227
4118 4117 1000
4459 1303 63
7275 7883 282
5887 2326 228
3516 5437 398
719 3731 462
7545 2110 570
243 8753 685
5840 6072 120
2744 1424 588
4337 2887 747
1542 1688 911
9575 4922 76
1135 3512 676
2138 2117 51
14 6295 129
6245 1690 167
4020 9657 246
9719 3903 995
790 9691 723
9156 8370 285
7595 5283 668
8626 3012 15
4653 4731 403
5983 8833 370
8646 8645 1000
7265 7185 806
5435 5644 740
8052 7450 781
4343 2228 419
2318 232 88
6599 4051 782
1902 550 775
6905 3958 735
7786 684 413
5535 1538 18
870 5868 13
9392 9929 468
4753 5176 649
4752 4751 1000
479 8080 803
7690 1174 499
6952 233 84
5140 7104 427
8802 2581 162
8489 7205 230
2048 3900 867
8967 2741 135
8256 4532 288
9998 9743 803
9657 8752 277
4448 1106 893
5067 7665 190
3119 1708 696
4188 7695 401
2785 9468 707
5437 714 971
6101 7472 611
4377 6242 347
7496 7888 480
9972 358 764
2529 7085 530
4155 6176 507
1468 5642 35
4048 1307 615
8572 8765 529
5666 5511 385
9376 6912 802
1165 1866 836
1389 1388 1000
5183 433 669
7027 2959 307
2225 1076 452
8343 2283 609
4653 9527 844
403 6426 926
6608 5454 590
2024 4159 494
6231 8475 347
1824 466 156
9303 763 383
5664 4367 936
2074 9801 392
1225 2875 300
4707 1482 614
6583 6704 118
9067 1483 262
4134 6070 781
8173 6158 783
8870 2228 699
4894 4893 1000
3792 3791 1000
8814 8529 830
3489 2333 437
6714 5630 971
7376 2592 236
168 6513 493
4529 3308 439
6076 2274 225
8790 8524 738
2094 7528 528
6463 7551 339
4840 3433 932
3376 8913 147
1596 8600 920
927 8401 493
198 7246 628
8929 8928 1000
6287 9096 616
8993 8992 1000
4572 2791 74
1716 6319 659
4404 1035 71
9827 9436 864
9129 2719 186
2927 3403 870
189 2721 283
7048 8676 120
2745 1168 441
3994 9074 941
3361 1571 912
6750 1570 558
9342 3830 116
6005 6437 831
9124 4586 964
986 1679 471
4007 6443 555
5407 5406 1000
4262 4261 1000
9816 9815 1000
1506 693 944
5338 7463 172
1856 153 228
1928 4040 749
9070 9069 1000
5123 7417 887
2666 2362 593
3038 2839 818
2731 3139 604
7024 1498 439
7910 8923 481
2440 3185 86
1604 8771 965
7767 5437 388
4453 7527 351
8567 6167 549
2412 612 253
5259 1401 411
6944 8298 938
656 4527 267
5626 4282 755
5825 4431 460
763 5477 398
6894 2998 956
5358 1102 875
5728 4730 763
7023 6020 539
1561 1899 92
7594 6907 435
4969 605 738
9781 2205 435
9922 6908 140
7863 4510 92
7219 474 278
1981 7175 427
9953 5798 875
5385 9010 784
1572 2969 117
7341 3202 165
5863 5506 928
6101 1059 335
2806 1330 549
7555 1004 141
156 237 216
8416 3691 233
8457 3810 39
321 320 1000
7261 7260 1000
5187 1352 534
9040 3428 478
7907 6911 490
2405 9680 382
9520 6320 253
7921 4253 28
876 4074 857
3093 7826 965
3344 5536 251
6286 7049 29
7249 6805 786
7538 2163 288
2092 9927 280
984 983 1000
2171 1629 60
5557 7825 208
6878 5789 479
7897 2970 429
6920 3420 499
1930 8798 179
1727 171 430
7341 5761 446
462 9858 334
8878 5558 791
5595 5594 1000
6319 3489 826
5633 5334 393
8053 8385 384
4012 293 477
4335 1137 318
3197 8277 135
244 94 670
640 441 648
4945 2091 491
914 8567 60
4424 276 526
4772 4675 116
8951 7413 205
778 6913 638
5836 5835 1000
1106 5672 318
5328 9043 557
5973 8814 56
2346 9496 168
8022 6607 951
1833 8772 734
5491 1021 286
3253 4972 230
7546 2386 852
6576 7674 835
1 7214 430
1078 3206 685
7557 4335 26
2038 893 968
2825 8697 432
7869 7083 84
1148 9936 626
9870 6464 581
9954 8035 980
1027 6108 248
4662 4661 1000
9276 3603 885
5009 9464 455
8164 2730 634
2189 1067 57
208 9597 865
8582 7771 421
1559 1890 200
309 7687 328
6722 5358 871
1511 1098 348
3465 4110 972
6952 4058 893
8386 5491 486
4024 7966 833
4297 6994 888
7402 1205 673
241 7196 101
2788 6898 893
2524 6103 772
8508 1629 368
584 583 1000
3666 8951 700
5890 6636 212
1593 4024 659
7282 9156 791
9213 8284 59
1772 1973 968
3689 5534 309
4621 4815 328
6879 4607 364
4376 3115 800
1092 6253 889
404 4934 520
8430 6989 680
8596 538 433
6809 7810 854
5369 1567 879
1980 7917 864
3470 5431 190
5140 2478 860
2796 3318 139
8108 8450 920
4362 2393 664
1218 8750 145
304 1688 912
4147 7497 571
7496 6780 790
5317 9925 665
6452 5499 570
8903 5650 374
1189 8760 852
9913 4815 907
8145 7118 757
8317 6342 743
98 7557 824
5306 4860 785
4956 269 425
3525 8750 181
1849 6082 161
5614 772 929
305 6446 380
7484 8950 457
3271 8696 312
3959 5098 501
4670 7935 863
4007 3929 304
8986 9154 999
6126 1164 651
6449 4451 614
1900 6727 435
4051 3232 931
229 3295 669
830 6687 156
9510 6428 635
1453 4983 775
7151 2014 546
6819 9911 8
6356 7596 987
213 1238 53
6545 7705 249
5641 5543 28
7379 8181 62
3844 4332 608
5997 494 350
3290 830 889
827 8874 367
3141 8643 361
4128 1957 12
3235 138 525
5662 2702 881
2909 3619 233
956 3419 624
7864 1197 654
9728 979 673
2253 147 572
7908 481 417
8607 5236 200
2883 3675 473
8997 8711 703
870 7469 498
6093 801 284
8352 1755 111
9750 2423 846
4681 4680 1000
4956 1259 21
8924 2272 335
1301 3711 995
3314 4794 263
4904 2600 700
1897 2187 223
2153 9533 226
4122 7502 690
5902 3674 795
8294 4433 640
2300 6840 707
2351 9643 474
8640 4076 82
272 4174 910
5136 2679 349
6403 7918 290
6040 5596 518
5113 4104 360
8849 5598 390
2793 8662 74
1756 4650 255
8081 6418 749
8605 6494 426
372 5223 218
9896 7261 412
2365 6551 197
1495 5753 233
4777 4776 1000
6309 1057 849
6228 3683 966
357 2752 583
2417 6160 158
8076 3076 563
3449 3496 190
7966 5595 569
6060 4852 501
1765 250 319
9623 8935 194
3212 6109 507
4152 870 272
3093 8979 270
2481 1829 748
418 7699 688
5343 1238 568
3190 9992 68
4945 5258 98
2439 3152 278
5073 3021 124
1550 5834 165
1835 5594 726
2192 8509 169
5104 5103 1000
9594 2808 277
8172 5431 448
3803 3802 1000
8336 4677 828
182 8123 292
6953 8396 671
9570 7157 814
330 6120 367
4475 4774 768
5745 7176 930
2812 5094 417
7760 9624 12
2095 3763 514
9328 7212 923
2885 8123 325
4286 1748 542
7106 2522 678
7393 3187 651
4255 9070 969
2886 2456 779
9285 4045 748
2332 5929 138
9396 9778 675
7134 8424 657
3270 6957 729
6006 9108 83
582 3052 542
1559 1268 984
4388 2073 421
5318 4044 129
5897 1112 348
1404 3945 825
4076 761 636
2205 1046 674
330 329 1000
4772 4187 368
640 5336 749
9189 1795 355
5016 5015 1000
5000 4389 208
5088 1035 833
7450 2432 673
6855 1691 523
8815 2058 531
2039 600 776
7347 2214 522
7022 246 293
3739 5455 941
4013 3313 677
7717 7951 782
3150 7122 758
8277 3497 501
3813 4810 799
3998 1040 513
4184 3130 517
8518 9529 316
3822 2812 997
3963 3962 1000
6664 3556 516
169 1559 251
6389 7279 263
9996 7934 892
8525 8645 87
1235 4838 853
9245 1629 739
5974 6319 164
9459 7244 153
1366 6363 953
8455 8454 1000
37 1659 654
4412 702 891
7186 8632 894
629 9038 104
9996 9284 161
1017 6446 108
8452 3519 241
3245 1482 255
7168 9062 669
8216 4157 122
3218 4251 576
2345 7810 61
5321 5870 337
3625 3528 72
6392 7237 505
1335 4411 855
140 1562 456
8926 6515 771
6288 4481 462
67 331 81
6385 8609 475
5039 275 810
3230 3354 615
548 9434 71
770 9385 172
9416 8000 113
3402 8556 571
2754 2129 117
6826 2577 411
6784 7964 494
8028 2203 231
1300 7382 167
9375 5147 599
2743 9048 984
7694 2336 855
5076 2752 20
5471 7887 125
4660 6882 300
3434 6094 564
4825 6859 202
8596 7378 697
6214 6213 1000
4589 6320 405
3945 1001 518
3975 1089 871
2085 6621 835
304 3956 429
375 4144 714
4224 8248 223
2672 6635 168
6974 3445 306
8697 5076 769
4281 2473 237
6696 7379 863
3582 3581 1000
3342 6349 484
342 6394 860
249 2283 850
6051 2485 137
6363 5939 231
758 757 1000
3732 6882 610
2064 3603 770
1810 6672 680
1620 9735 959
904 1356 768
143 9945 27
9451 6268 173
4383 8338 223
5040 7647 922
6277 1857 489
8413 2113 752
1953 6299 50
702 9670 650
2689 4997 186
9668 1529 165
9938 4066 752
7470 1812 903
7117 3555 682
5919 9340 450
8423 6742 727
1717 6842 640
461 1084 910
7715 2463 207
5076 5842 323
7752 673 449
5359 4302 5
9293 4273 897
7662 3824 269
8693 6874 849
1676 5004 254
1870 8869 806
5779 2184 101
5845 2080 861
1476 9282 944
6634 9395 436
8217 5446 752
4037 6061 817
9990 8777 159
2139 7207 415
7593 2778 906
5459 89 8
4536 6114 603
5354 7475 633
7884 3407 171
4572 8890 655
9685 9684 1000
9592 668 229
7944 8003 982
4351 8352 555
7872 3609 126
2871 563 603
506 4597 142
1001 3427 981
4961 4648 211
7506 2946 790
5062 5061 1000
1508 1353 986
3273 8081 24
5364 6999 264
6084 3918 547
7500 2516 580
1183 4978 659
4212 3504 800
9415 1582 62
308 6752 41
8844 3917 203
4078 3981 243
5690 214 695
5885 5307 457
4146 8239 328
7447 8143 981
3062 4546 493
7453 7452 1000
5963 9486 144
4115 420 136
1726 9344 196
5006 1512 826
7591 7466 127
3549 9653 717
9115 3272 438
6662 8631 488
1568 6145 413
2470 5356 151
4263 7698 329
9487 9058 874
4095 8780 64
3984 3997 306
9943 1984 360
9791 1526 696
5129 252 827
2191 4326 92
4467 8795 300
3784 9640 692
3357 2049 387
4446 8548 351
2021 5770 955
9435 1103 78
945 6496 533
1773 1772 1000
4295 4859 847
5687 6121 215
1901 1609 298
7166 8193 516
2110 6520 608
4224 7457 492
4271 421 947
3817 8147 658
9508 4523 748
6970 3472 43
3335 4203 251
9944 6243 614
3656 6301 726
85 7660 666
8592 7232 158
3659 1187 895
7492 8561 691
5780 8022 318
305 2922 415
8919 2769 908
2960 6899 921
4297 9954 926
4696 7953 725
8587 3163 249
6856 6855 1000
5106 5073 921
3682 4362 111
8566 4655 538
8840 510 962
6051 3062 970
3070 6543 963
7476 9455 891
6389 9108 639
6120 9897 984
1456 2833 935
7343 7326 11
5258 6598 149
585 8157 887
4515 3364 541
4722 3097 65
8653 512 736
3560 8063 485
4905 7287 103
3165 182 280
7674 8546 793
1757 1756 1000
9841 1304 526
8481 7251 434
9308 921 151
5278 6696 808
8049 8048 1000
3435 5887 322
3541 7878 334
6460 4861 689
389 540 486
3249 4774 25
9010 4187 353
5816 1429 689
1483 9038 121
5428 2629 878
1005 518 266
7656 8044 437
1715 1714 1000
7238 3731 26
1585 7681 225
5327 6644 347
1564 5210 387
630 7282 878
1932 9473 472
3271 3422 507
7686 1582 310
8215 9809 205
1579 4192 235
7262 438 98
9723 1174 665
3915 2365 671
6239 712 181
7632 8506 824
2236 6259 521
956 1608 206
2075 608 996
6460 7138 289
3261 6001 416
9627 7153 539
9074 8169 191
5736 761 614
8382 6588 584
3938 3937 1000
6364 6363 1000
4464 4718 250
475 8599 321
9740 1010 585
6968 6289 893
9538 7507 767
3843 4078 113
402 8201 672
2636 1328 887
5621 6493 977
6525 4265 154
3902 8931 100
4424 9725 825
1205 9604 555
3283 1457 838
1979 5562 425
5860 4964 777
3042 3248 131
7093 7104 943
6326 5977 853
206 993 39
3104 3888 146
3553 6646 362
2186 9386 528
2458 8721 229
9881 8764 443
5634 5156 100
2390 1021 761
6132 883 886
9459 9540 975
4083 8565 263
2049 4498 355
8790 4311 559
9615 9374 821
8751 3479 1000
362 1390 443
6967 9251 626
8472 9395 38
5037 4108 213
4373 4744 431
225 3346 317
9502 4764 973
7693 4845 382
8563 9000 583
4387 7882 14
4234 5410 428
9141 598 746
2517 1345 765
603 5245 23
4315 2538 768
3182 8473 953
208 8468 75
3192 3906 498
301 8528 774
2949 4587 902
7756 5343 995
5699 5943 258
4442 4213 561
4993 3879 860
2240 6569 395
8793 6900 561
6744 1767 379
1146 8494 39
1584 1583 1000
705 1964 15
2382 9474 119
1160 8410 672
9769 3780 349
9062 1352 476
4313 933 491
9705 4220 739
5658 517 675
2933 6111 549
5472 8984 365
6201 5691 667
3305 9467 321
387 386 1000
8666 5129 458
6623 5716 809
1550 2008 583
2715 9693 737
9959 8177 961
9803 9782 799
6322 3736 456
1526 417 646
5050 3223 124
2924 4746 882
7404 6515 709
8550 3870 347
7441 762 923
1152 7250 694
5264 4556 207
2293 2322 511
1506 5802 400
6978 6977 1000
4133 3285 481
5106 7192 465
6685 6216 405
6950 4502 967
3777 1074 866
8547 3106 652
4809 5292 780
7772 7771 1000
2064 9207 407
2844 6608 826
785 2170 186
796 6659 314
3189 1843 999
2269 4840 201
852 9498 666
2167 4153 573
5158 343 548
5658 9666 497
9543 577 242
4015 8083 9
6864 9706 12
5070 6637 740
9470 3455 549
1958 4906 356
4531 1452 626
9176 4142 997
3423 1561 556
8385 6710 236
6761 6825 169
9263 6331 883
8830 1441 353
1736 7657 729
3776 7023 902
9232 7357 310
4812 2677 62
219 4168 725
5108 9520 71
1099 5309 627
7590 2195 556
9598 7016 638
5011 4243 302
558 7266 517
1552 3825 910
7763 7569 873
8480 9364 55
592 8970 128
9331 3971 789
7509 5739 393
6213 1328 400
8525 9514 464
2272 8183 496
9432 7244 940
8730 8729 1000
1888 2665 515
913 4253 264
7082 613 69
1270 7026 320
3833 8103 708
2947 2295 352
9912 5740 219
5964 1435 535
6821 5025 744
9872 2717 876
4724 411 748
9792 1597 913
4353 2322 534
4601 4795 98
2939 4411 510
2508 7062 788
1304 2580 661
1354 2865 94
2138 3986 138
6379 6378 1000
1129 4691 25
6428 6427 1000
801 41 917
9289 2861 841
3333 5332 164
3831 8846 960
5513 5931 239
207 5673 243
5250 4140 569
915 5787 319
9071 6017 310
1079 1880 714
4264 6170 488
2708 816 916
1825 256 896
4688 7664 594
1727 7119 425
9407 2225 820
4174 6622 374
2022 6475 241
1543 3998 723
1372 8683 705
8656 3683 970
8529 9690 157
9227 2586 231
5247 2238 727
5821 3216 782
3810 2255 364
3367 104 960
6482 6168 223
5642 5119 546
5174 7701 122
8543 112 33
3721 3395 822
9944 4120 387
3511 3510 1000
4785 7740 444
6518 5078 979
5299 1178 425
7000 936 282
2713 3366 174
5877 8584 87
9624 658 296
8643 1857 18
1458 7791 755
5872 5945 595
2007 3249 769
4761 2151 983
5926 9287 721
8870 6807 334
4672 5610 273
7491 3074 405
3871 5788 269
1064 3042 865
6305 3908 366
548 9197 242
8113 3363 70
3809 8361 334
3992 6877 765
9519 4137 578
4365 9766 441
9522 6282 350
8576 2030 180
1900 1404 174
8166 166 793
9099 1030 396
6303 6657 781
4444 7229 147
6505 4898 133
9516 9111 763
6587 9338 227
9415 704 408
4137 1540 974
4878 8387 868
3006 2690 694
2925 3245 783
8369 3319 4
1239 1238 1000
8942 1716 639
4734 3382 277
8130 2585 407
4476 4475 1000
7817 264 32
8811 4062 335
7990 7022 196
4872 8981 542
8847 7496 285
2206 4472 30
1341 5067 322
100 6079 803
4168 9739 208
5460 5459 1000
4698 1633 674
6460 442 692
1678 295 1000
7167 7777 344
7062 3137 519
1283 8855 392
4995 8448 701
1690 1900 377
2871 5806 461
2204 3802 904
8069 9284 378
1503 9922 506
280 7914 972
4703 6206 835
9630 2569 683
9441 8314 992
7834 7588 836
3345 757 150
348 740 750
4431 4188 324
7725 9647 378
6627 7799 504
1876 1383 821
8866 5251 793
1156 3002 754
6992 2402 335
5810 4659 738
224 6401 501
7753 4936 398
4320 1868 714
9692 4218 720
2000 8464 380
5016 3488 766
3390 1232 965
8149 2008 953
3667 8338 302
1108 8278 330
1017 8457 369
7582 2269 317
3778 3777 1000
1202 7895 729
5185 5073 56
7851 2356 443
609 608 1000
9916 9915 1000
4 3 1000
3638 7751 932
8653 3497 460
8585 5740 34
1200 1860 758
4320 6425 709
1686 531 281
5863 7472 658
2603 3617 824
51 7216 202
4825 7850 313
8072 3898 473
1052 4739 773
7838 1051 167
391 3802 882
8865 4342 16
7283 3725 74
1657 5015 169
2483 37 938
2414 4006 219
7199 9 386
1392 6220 519
3821 525 831
263 4743 69
3328 4518 34
79 8243 979
4127 9660 998
8129 2168 693
546 2684 445
1531 2881 473
2879 2878 1000
8023 4076 381
806 8991 490
4525 4524 1000
8001 1610 637
4654 8715 871
9708 1534 890
9271 8670 319
4126 3724 405
1339 503 894
2253 2913 967
9856 5967 803
3952 5324 404
4452 8877 949
2317 6124 305
5369 4583 313
9409 680 206
2807 408 467
1830 5410 158
8767 1748 720
3931 2881 395
4606 3396 665
2763 7440 150
1293 4680 881
4923 4233 995
5441 9949 395
7618 55 711
3136 7451 48
3236 3470 296
1187 6591 237
5858 5857 1000
2578 9452 6
4159 3470 10
9756 7854 653
9594 456 335
9982 9877 126
7104 701 386
5674 5399 994
6503 7047 826
2071 7065 580
7066 5156 511
9545 9544 1000
1144 880 467
5257 3729 452
253 7986 796
2132 2131 1000
1567 1566 1000
4139 4462 18
9973 3229 331
6585 8161 367
6400 6399 1000
5803 2490 575
1203 5464 861
6806 7259 144
1199 9221 323
469 468 1000
3646 3645 1000
4194 7576 312
1419 4646 857
415 4899 748
1581 8065 462
1889 618 233
1919 9739 833
5801 8885 848
2857 7854 64
808 398 371
9204 8275 965
1304 1197 412
7129 3012 951
9451 6156 912
33 4288 601
7491 217 114
577 954 420
7706 8496 29
9761 4476 534
1368 1367 1000
2368 3436 383
8619 2485 609
3366 8093 892
933 8822 291
5633 3378 302
4441 3627 864
9098 4561 874
7749 4545 663
9234 4629 190
5888 260 676
6135 6752 597
1306 9393 400
9223 1176 6
9933 2552 436
6161 2912 212
1661 4099 204
7362 6312 567
5187 83 922
2184 9866 590
4422 6004 812
1539 4845 854
3975 6745 994
1062 1061 1000
7999 8093 970
9554 5607 81
6435 2475 93
2965 5587 719
7756 4415 458
4155 6979 936
3102 8070 212
8304 6562 643
6714 4386 1
7033 9294 523
487 2607 854
1337 2365 549
5492 8001 960
6577 6576 1000
4059 9785 886
969 1371 395
3324 5510 278
9419 7434 800
5895 1972 280
7953 815 214
199 5678 850
2815 4153 956
5855 4980 717
4357 2413 642
6507 5380 405
5018 852 781
2075 4059 417
7077 7076 1000
2414 5204 873
8727 3901 76
2436 4318 150
6205 6221 427
7525 6251 110
2440 4667 277
3071 7391 210
1794 815 376
2748 6696 198
3467 9611 859
7262 6763 429
3376 9265 870
6303 6255 360
3488 6330 556
1643 7396 7
907 9463 795
6749 1324 630
4236 537 455
6098 8233 907
2019 3071 521
5819 3985 950
8429 827 141
3432 2168 316
7622 947 313
7125 4211 723
5177 809 953
2030 2158 979
7781 6867 786
8325 8642 66
1939 1938 1000
6118 9430 883
7452 2887 890
6067 9001 165
8724 148 82
653 997 491
7075 783 727
3688 3687 1000
2385 2919 551
2939 8935 65
7162 8022 268
388 5142 89
7178 5811 361
9544 3130 994
6106 8616 594
7490 7489 1000
8626 5674 872
6992 2016 651
2435 4217 85
5655 5058 884
3207 4088 905
5017 5565 455
8813 3918 818
6849 6356 208
1041 3942 204
2446 5725 679
7259 4498 881
8621 700 0
813 5398 875
4251 271 258
7007 6075 946
3938 5243 364
4882 6664 592
4999 6276 260
7656 4996 120
4706 8822 274
7107 9551 805
3278 2657 179
1882 602 718
2695 8953 697
9031 8487 928
8772 22 725
4741 2397 520
6769 8967 373
4156 3708 106
5446 9285 759
6732 2508 707
6669 6668 1000
9517 3099 305
2549 9234 70
7148 6859 893
1207 1104 42
2679 5272 629
8932 6160 609
215 7674 521
7989 4494 941
9177 3995 370
8079 3783 265
2807 5313 673
8539 2302 183
4804 1641 710
5274 5273 1000
4798 3713 767
824 3802 513
927 7789 571
1754 445 779
1258 7286 484
7873 5133 310
6732 1265 430
9729 2885 590
3272 7402 684
7044 2886 67
217 9246 180
1088 1192 798
1714 9685 587
7736 3125 327
1386 8717 550
8483 3907 159
6690 8851 726
3803 4548 164
8008 8076 939
4062 4752 29
944 1074 261
3521 3322 279
1002 1001 1000
6896 9875 543
9635 4335 160
8241 4453 64
8570 1965 710
3195 2951 220
2458 8480 921
2802 1023 182
3557 7549 353
7449 1471 588
6983 5112 27
712 6151 335
8048 6121 660
1151 4670 836
4366 3059 510
9978 2767 750
4396 3677 742
6504 1930 106
4883 7200 972
9518 2954 46
8872 8010 169
529 6594 627
9931 3436 467
9820 8918 848
6802 6488 950
2803 5372 973
679 678 1000
1057 9892 779
4142 6784 843
1305 1304 1000
8061 8048 20
7025 2837 181
19 636 69
8756 8755 1000
1516 4593 879
5997 1698 728
408 443 986
7443 9255 839
2360 3608 663
1361 2373 201
121 9959 650
2272 6161 592
9195 3758 865
6218 6145 737
6114 6932 891
5219 9744 326
5204 1570 925
583 7774 468
6419 6418 1000
8143 3551 710
5392 3053 346
5582 2588 72
6059 6058 1000
401 3484 658
6848 6847 1000
4160 404 593
2476 1574 506
3118 1966 358
86 1986 119
6315 4916 44
7799 6916 252
4885 3448 381
7065 6777 365
6572 8160 293
365 2631 225
875 9475 437
2466 2465 1000
9662 7063 54
5759 8161 29
5815 1498 513
5448 3307 633
9372 1101 316
8562 7472 565
8079 4167 649
6927 966 426
3328 806 690
112 4898 649
4215 4204 815
8181 3234 576
6721 9849 760
8782 4535 462
2024 4236 228
7804 5477 209
9846 9845 1000
2143 661 786
2978 5017 490
2072 443 104
8275 840 140
8723 253 610
338 3484 715
8362 5246 471
7121 6429 816
1138 1137 1000
1348 1353 262
3015 867 23
5824 3880 811
2165 6206 700
7211 9564 190
6330 5623 357
7969 9481 744
4081 1111 858
3385 7148 959
4619 8195 432
1067 8780 259
9535 3370 449
8392 4543 565
3699 221 29
7416 80 284
4352 5616 881
8479 4797 999
6984 6724 200
6011 1537 548
1177 1176 1000
7982 8916 310
8548 2501 476
263 682 76
1701 6078 989
6166 792 386
6013 4231 301
4164 4163 1000
4345 19 223
654 5160 509
550 9908 848
2151 9902 845
4252 5306 11
6630 3115 767
733 6109 288
4630 4159 99
2035 8770 53
3254 5990 173
9390 4706 725
7109 4808 478
92 8871 706
4336 526 911
5666 1007 340
3487 4816 265
408 2393 924
5548 7242 625
1489 2144 361
9095 5322 914
6343 9174 490
4815 2191 666
993 6221 461
3904 6366 970
6136 794 892
6675 6980 297
8790 5619 283
7417 4955 250
8975 2031 935
7319 9371 715
2917 7902 376
5778 5166 666
7909 9100 993
3912 5708 378
9879 1730 74
6942 4791 322
6605 7853 870
4011 5371 965
6446 4565 752
2389 9698 934
251 9273 203
1185 704 616
449 7548 268
6201 3233 87
2235 6550 613
2918 9433 418
2999 2307 396
4274 2344 973
2900 6319 955
8922 6024 655
43 9564 249
